,Fold,Sentence_ID,Sentence,E1,E2,isValid
0,6,HPRD50.d0.s0,Cloning and characterization of two evolutionarily conserved subunits (TFIIIC102 and TFIIIC63) of human TFIIIC and their involvement in functional interactions with TFIIIB and RNA polymerase III,TFIIIC102,TFIIIC63,False
0,6,HPRD50.d0.s0,Cloning and characterization of two evolutionarily conserved subunits (TFIIIC102 and TFIIIC63) of human TFIIIC and their involvement in functional interactions with TFIIIB and RNA polymerase III,TFIIIC102,TFIIIC,False
0,6,HPRD50.d0.s0,Cloning and characterization of two evolutionarily conserved subunits (TFIIIC102 and TFIIIC63) of human TFIIIC and their involvement in functional interactions with TFIIIB and RNA polymerase III,TFIIIC63,TFIIIC,False
0,7,HPRD50.d1.s0,"Identification of residues in the monocyte chemotactic protein-1 that contact the MCP-1 receptor, CCR2",monocyte chemotactic protein-1,CCR2,True
0,7,HPRD50.d1.s1,"The receptor binding site of MCP-1 also is significantly different from the binding sites of RANTES and IL-8, providing insight into the issue of receptor specificity",MCP-1,RANTES,False
0,7,HPRD50.d1.s1,"The receptor binding site of MCP-1 also is significantly different from the binding sites of RANTES and IL-8, providing insight into the issue of receptor specificity",MCP-1,IL-8,False
0,7,HPRD50.d1.s1,"The receptor binding site of MCP-1 also is significantly different from the binding sites of RANTES and IL-8, providing insight into the issue of receptor specificity",RANTES,IL-8,False
0,7,HPRD50.d1.s2,It was previously shown that the N-terminus of CCR2 is critical for binding MCP-1,CCR2,MCP-1,True
0,7,HPRD50.d1.s3,"To identify the regions of MCP-1 that contact its receptor, CCR2, we substituted all surface-exposed residues with alanine",MCP-1,CCR2,True
0,9,HPRD50.d2.s0,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the CG beta subunit or the CG beta alpha and FSH beta monomer,CG beta,CG beta alpha,False
0,9,HPRD50.d2.s0,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the CG beta subunit or the CG beta alpha and FSH beta monomer,CG beta,FSH beta,False
0,9,HPRD50.d2.s0,We tested this point by cotransfecting CHO cells with the genes encoding F beta alpha and the CG beta subunit or the CG beta alpha and FSH beta monomer,CG beta alpha,FSH beta,False
0,9,HPRD50.d2.s1,The formation of a functional single chain/subunit complex was not restricted to the FSH single chain/CG beta subunit since CG single chain interacts with the monomeric FSH beta subunit and exhibits FSH activity,CG beta,FSH beta,False
