Sentence ID	Sentence
389	(2E, 4E)-2-Fluoro-5-(1'-hydroxy-2',6', 6'-trimethyl-2'-cyclohexen-1'-yl)-3-methyl-2,4-pentadienoic acid (5b) showed potent inhibitory activity at the same level as ABA in the cress seed germination test, and 5b also inhibited PROTEIN inducible PROTEIN1 induction at 4 x 10(-)(6), 3 times the concentration of ABA (1 x 10(-)(6)) for 50% inhibition of PROTEIN2 production
404	However, both EGF and PROTEIN1 stimulated the accumulation of PROTEIN2 at the actin arc, which was coincident with the EGF receptor in the case of PROTEIN stimulated cells.
419	The maximal PROTEIN1 responses induced by PROTEIN2 and AVP were very similar, but the threshold and maximal doses of AVP for increasing plasma PROTEIN were higher than those of PROTEIN 
434	Both p-nitrophenylphosphatidylcholine hydrolytic activity and liposome lytic activity of PROTEIN1 PROTEIN2 conjugate were inhibited in the presence of PROTEIN antiserum
449	 PROTEIN1 induced PROTEIN2 release was not altered by pretreatment with pertussis toxin (PT)
464	Relative PROTEIN expression levels were 100, 104, and 33 for PROTEIN 100, 191, and 125 for PROTEIN and 100, 107, and 29 for PROTEIN1 in ad libitum fed control rats, in PROTEIN2 treated rats and in pair-fed control rats, respectively
479	CONCLUSION: The results reveal that simultaneous stimulation of the expression of certain PROTEIN genes and the PROTEIN1 gene can be achieved, and suggest that adrenergic regulation of the PROTEIN gene and of genes of the PROTEIN2 family in adipose tissues is the result of complex interactions between the different beta-AR pathways
494	A specific enhancement in PROTEIN1 mediated PROTEIN2 secretion is the earliest reported developmental alteration in PROTEIN secretion from islets of ob/ob mice, and thus a logical target for leptin action
509	The PROTEIN1 inhibitor U 71322 prevented the activation of PROTEIN by PROTEIN2 
524	These data indicate that an adequate level of GTP is critical for glucose's potentiation of Ca(2+)-induced PROTEIN1 secretion in primed islets but that PROTEIN activation can clearly be dissociated from PROTEIN secretion and therefore cannot be the major cause of glucose's augmentation of Ca(2+)-induced PROTEIN2 secretion
539	To elucidate the pathophysiologic significance of PROTEIN1 and PROTEIN2 in the effect of TZDs on glucose metabolism and energy expenditure, we examined their basal mRNA levels in the WAT, brown adipose tissue (BAT), and skeletal muscle from Wistar fatty rats, a rat model of NIDDM and obesity with PROTEIN receptor defect, and investigated expression of the genes encoding PROTEIN and PROTEIN in Wistar fatty rats and in Wistar lean rats with 2-week oral administration of 3 mg x kg(-1) x day(-1) pioglitazone, a TZD derivative
554	Thus tolbutamide and diazoxide regulate both PROTEIN1 linked Ca(2+) signaling and PROTEIN2 secretion from pancreatic beta-cells by modulating K(ATP) channels, thereby determining voltage-sensitive Ca(2+) influx
569	The present study was designed to investigate how repeated injections of PROTEIN1 influence plasma levels of vagally controlled hormones such as gastrin, cholecystokinin (CCK), PROTEIN and somatostatin, as well as of endogenous PROTEIN2 and glucose
584	They are needed for the catabolism of PROTEIN1 bile acids, and steroid hormones; they hydrolyze a number of PROTEIN2 glycosides to anticarcinogens; and they detoxify certain carcinogens
599	To determine the effects of food restriction and PROTEIN administration on several transcripts involved in energy homeostasis, we examined PROTEIN1 PROTEIN2 (UCP) 1, 2 and 3, lipoprotein lipase (LPL), beta3-adrenergic receptors (beta3AR) and hormone-sensitive lipase (HSL) mRNA levels in brown adipose tissue (BAT) and epididymal (EWAT) and perirenal (PWAT) white adipose tissue in three groups of rats
614	We observed that primary microglial cultures and the THP-1 monocytic cell line are stimulated by fibrillar beta-amyloid and PROTEIN1 peptides to activate identical PROTEIN2 dependent inflammatory signal transduction cascades
629	The PROTEIN1 (PKC) inhibitors: staurosporine, H7 and GF109203X are able to block the PROTEIN2 stimulated phosphorylation
644	Compared with the wild type, PROTEIN1 induction of PROTEIN2 activity in aleurone cells of d1 was greatly reduced
