Sentence ID,Sentence,isValid,Unique ID
10,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN1 than did oCSP ewes (+553 and +168% for PROTEIN2 and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",True,U_1
25,We have recently shown that PROTEIN1 causes a PROTEIN2 (PKC)-dependent increase in ACTH release and biosynthesis in ovine anterior pituitary cells,True,U_10
40," PROTEIN1 (PKC) inhibitors reversed PROTEIN2 inhibition, whereas PROTEIN activator inhibited nitrite production",True,U_15
55,"Induction of fatty acid translocase/CD36, peroxisome proliferator-activated receptor-gamma2, PROTEIN1 PROTEIN and PROTEIN2 and tumor necrosis factor-alpha gene expression in human subcutaneous fat by lipid infusion",False,U_26
70,Dietary intakes of PROTEIN PROTEIN1 and PROTEIN by Japanese women and the inverse correlation between quercetin intake and plasma LDL PROTEIN2 concentration,True,U_31
85,This PROTEIN1 stimulation by PROTEIN2 beta protein appeared to be pertussis toxin sensitive,True,U_40
100,"Once the abnormally phosphorylated abnormal PROTEIN isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular PROTEIN1 isoform that aggregates to abnormally phosphorylated abnormal PROTEIN isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a PROTEIN2 specific PROTEIN ",False,U_50
115,"The activity of the MAPKs, induced by PROTEIN1 or PMA was inhibited by downregulation of PROTEIN2 (PKC), by the tyrosine kinase inhibitor genistein and by MAPK kinase (MEK) inhibitor, PD98059",True,U_57
130,"While PROTEIN maintains or favors energy-dissipating mechanisms ( PROTEIN PROTEIN1 and PROTEIN2 , the latter are markedly depressed in pair-fed rats",False,U_62
145,The regulation of PROTEIN1 genes by PROTEIN2 therefore involves an interplay of at least three different types of transcription factor,True,U_73
160,"In the present study we found that at increasing PROTEIN concentrations, increasing numbers of barley (Hordeum vulgare) cells showed the enhanced PROTEIN1 secretion and vacuolation characteristic of the PROTEIN2 response",False,U_85
175,"All four agonists caused a biphasic release of 45Ca2+ from non-mitochondrial pool(s), with the rank order of potency: PROTEIN1 > PGF2 alpha > ET-1 > PROTEIN2 ",False,U_95
190,The PROTEIN antagonist 1-deamino-2-D-Tyr-(OEt)-4-Thr-8-Orn-oxytocin administered ICV increased PROTEIN levels itself and therefore the effect on PROTEIN1 induced PROTEIN2 secretion was difficult to evaluate,True,U_105
205,HvSPY coexpression largely abolished PROTEIN1 induced activity of an PROTEIN2 promoter.,True,U_118
220,"It was shown that, in the absence of exogenous Ca2+, neomycin markedly reduced the germination speed and seedling growth of rice seeds and inhibited the PROTEIN1 induced expression of PROTEIN2 in both secretory tissues",True,U_129
235,"During luteinization of bovine granulosa cells in vitro in the presence of PROTEIN or PROTEIN1 plus forskolin, there is a massive upregulation not only of progesterone production, but also of the gene for the peptide hormone PROTEIN2 with secretion of the peptide into the medium",True,U_142
250,"OBJECTIVE: In order to elucidate the roles of PROTEIN (IP3) and oxytocin (OT) receptors in rabbit parturition, the concentration of PROTEIN1 induced by PROTEIN2 and the OT receptor levels were determined in rabbit myometria before and after parturition",True,U_151
265,Co-injection of SHU9119 also inhibited completely the PROTEIN1 induced increase in PROTEIN2 mRNA expression in the BAT,True,U_162
280,"The expression of uterine PROTEIN and PROTEIN1 were up-regulated by 3.2- and 1.5-fold, respectively, during the late stage of pregnancy with an increase of WAT PROTEIN mRNA expression and exogenous administration of PROTEIN resulted in induction of the uterine PROTEIN2 and PROTEIN levels",False,U_169
295, PROTEIN1 was necessary in PROTEIN2 but not in LPA-induced activation of p70 S6K,True,U_173
310,"A reduction of food intake imposed on control rats (pair-feeding), aimed at mimicking PROTEIN1 induced hyperphagia, produced a marked decrease in the expression of muscle PROTEIN (UCP-3), whereas ICV infusion of PROTEIN prevented such a decrease in PROTEIN2 ",False,U_183
325,Gibbestatin B inhibits the PROTEIN1 induced expression of PROTEIN2 expression in cereal seeds [In Process Citation],True,U_190
340,"Adenovirus-mediated overexpression of PROTEIN1 delta1, -beta1, or -beta3 in INS-1 or betaG 40/110 cells results in little or no enhancement in inositol phosphate (IP) accumulation and no improvement in PROTEIN2 secretion when the cells are stimulated with glucose or carbachol, despite the fact that the overexpressed proteins are fully active in cell extracts.",False,U_203
355,Only PROTEIN1 alone increased the formation of PROTEIN2 in cells from ovariectomized pigs treated with estradiol in vivo (p < 0.01),True,U_211
