Sentence ID,Sentence,isValid,Unique ID
6,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN1 and total PROTEIN2 respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",False,U_1
21,"The addition of PROTEIN1 increased PROTEIN2 activity in cardiac myocytes, and its effect was significantly inhibited in the presence of calphostin C",True,U_8
36,"We conclude that: (1) PROTEIN causes a rapid, and reversible, phosphorylation of the MARCKS protein in the ovine anterior pituitary; (2) since the PROTEIN1 induced increase in MARCKS phosphorylation occurs much earlier in these cells than does PROTEIN2 trans-location, MARCKS phosphorylation may provide a more sensitive index of the onset of PROTEIN activation than the translocation assay; (3) the close temporal association between MARCKS phosphorylation and the rapid early release of ACTH suggests that MARCKS phosphorylation may be involved in the initial intracellular events that underly exocytosis of the hormone.",False,U_13
51,"Pretreatment for 24 h with 1 microM PMA downregulated expression of PROTEIN1 and -delta, but not PROTEIN and prevented the Ca2+-spiking responses to either 1 nM PMA or 100 pM PROTEIN2 ",False,U_24
66,"The body mass index (BMI), PROTEIN1 plasma PROTEIN2 (NPY), serotonin, thyroxine (T4), triiodothyronine (T3) and reverse triiodothyronine (rT3) in serum were evaluated for each subject",False,U_30
81,"When taken in their entirety, the experimental evidence suggests that the activation of PROTEIN is an essential component in the physiologic regulation of PROTEIN1 secretion and that disordered activation of the enzyme culminates in disordered PROTEIN2 release",False,U_38
96,"Pretreatment of HEK-293 cells for 2 min with carbachol, a mAChR agonist, lysophosphatidic acid, or ATP, followed by agonist washout, strongly increased (by 2-3-fold) maximal PROTEIN1 stimulation (measured >/=40 min later) by epidermal growth factor and platelet-derived growth factor, but not PROTEIN and largely enhanced PROTEIN2 sensitivity to these RTK agonists",False,U_47
111,Induction by PROTEIN1 of PROTEIN2 and enzymes of fatty acid oxidation,True,U_53
126,"While PROTEIN maintains or favors energy-dissipating mechanisms ( PROTEIN1 PROTEIN and PROTEIN2 , the latter are markedly depressed in pair-fed rats",False,U_62
141,"Blood samples for PROTEIN1 assay were taken just before the rapid injection of PROTEIN2 (time 0) and at time 15, 30, 45 and 60 min",False,U_69
156,These results disclose the potential of the PROTEIN to modulate the activity of PROTEIN1 a pleiotropic PROTEIN2 that is particularly abundant in the brain,False,U_82
171,The current study demonstrates that PROTEIN rapidly influences the secretion of hypothalamic PROTEIN1 and CRH and that these actions of PROTEIN2 within the hypothalamus are restrained by the presence of endogenous corticosterone,False,U_93
186,The PROTEIN1 antagonist 1-deamino-2-D-Tyr-(OEt)-4-Thr-8-Orn-oxytocin administered ICV increased PROTEIN levels itself and therefore the effect on PROTEIN induced PROTEIN2 secretion was difficult to evaluate,False,U_105
201,"In summary, classical brown adipocytes differ from white adipocytes, not only by their morphology and PROTEIN1 expression, but also by their apparent lack of detectable PROTEIN2 expression",False,U_116
216,Possible central nervous system (CNS) mechanisms could mediate these responses in that leptin receptors are located on hypothalamic neurons that coexpress PROTEIN1 (NPY) or proopiomelanocortin (POMC) and both peptides that have been implicated as mediators of the CNS action of PROTEIN2 ,True,U_125
231,"For each Exp, 100 mg endometrium was incubated, in duplicate, for 2 h with 10 microCi [3H] inositol and treated with 0 or 100 nM PROTEIN1 (OT) for 20 min, then [3H]inositol mono-, bis-, and trisphosphates (IP1, IP2, and PROTEIN2 respectively) were quantified",False,U_140
246,"The relative risks between highest and lowest quarters of PROTEIN1 intake adjusted for age, smoking, serum PROTEIN2 concentration, blood pressure, and body mass index were 0.69 (95% confidence interval 0.53 to 0.90) and 0.54 (0.33 to 0.87) for total and coronary mortality, respectively",False,U_149
261,"To explore the possible roles of the hypothalamic melanocortin system in PROTEIN1 action, we examined the effects of intracerebroventricular (i.c.v.) injection of PROTEIN with or without SHU9119, a potent antagonist of alpha-melanocyte stimulating hormone, on food intake, body weight, and mitochondrial PROTEIN2 (UCP-1) mRNA expression in the brown adipose tissue (BAT) in rats",False,U_160
276,"The expression of uterine PROTEIN and PROTEIN were up-regulated by 3.2- and 1.5-fold, respectively, during the late stage of pregnancy with an increase of WAT PROTEIN mRNA expression and exogenous administration of PROTEIN1 resulted in induction of the uterine PROTEIN2 and PROTEIN levels",True,U_169
291,"These results indicate that PROTEIN1 gene expressions during pregnancy are regulated tissue-dependently, and up-regulation of uterine PROTEIN2 and PROTEIN mRNA may be due to increased PROTEIN levels",False,U_170
306,These diminished responses to PROTEIN1 were associated with and may be the result of an impaired suppression of hypothalamic PROTEIN2 mRNA levels,False,U_180
321,"These results suggest that central PROTEIN stimulates T3 production via an activation of T4 to T3 conversion, and that this stimulation could be responsible for the effect of PROTEIN1 on muscle PROTEIN2 expression",True,U_186
336," PROTEIN1 upregulates the expression of PROTEIN2 (UCP-2) mRNA in islets of normal rats, but has no effect in islets of obese Zucker Diabetic Fatty (ZDF) rats with mutated leptin receptors",True,U_199
351,"There was also a very significant increase of PROTEIN after the addition of 1000 mU hCG (p < 0.001) and PROTEIN1 and PROTEIN when 1000 mU hCG plus PROTEIN2 were added (p < 0.001 and p < 0.01, respectively)",True,U_210
366,Association of the insulin receptor with PROTEIN1 (PLCgamma) in 3T3-L1 adipocytes suggests a role for PROTEIN2 in metabolic signaling by PROTEIN ,False,U_220
381, PROTEIN by intravenous or intracerebroventricular infusion for 5 h was associated with a decrease in PROTEIN1 mRNA in WAT (47-52%) and PROTEIN2 mRNA in SM (33-37%),False,U_225
396,"A negative correlation between WAT O2 consumption and PROTEIN1 expression was found in control animals, but not in the cafeteria-fed groups, suggesting a differential response to the beta3-adrenergic compound in lean and obese animals, which is in agreement with the reported statistical interactions between obesity and Trecadrine administration found for WAT O2 consumption and muscle PROTEIN expression, as well as for plasma PROTEIN2 and WAT PROTEIN expression",False,U_232
411,"Finally, recent evidences suggest that melanocortins could be involved in mediating the effects of PROTEIN1 and in controlling the expression of PROTEIN2 (NPY)",False,U_243
426,"These data (together with the finding that IL-1 beta inhibited Ca(2+)-induced PROTEIN1 release) suggest that, in addition to its effects on ATP synthesis and thereby on the KATP channel, IL-1 beta has at least two undescribed, distal effects to block both PROTEIN2 as well as Ca(2+)-induced exocytosis",False,U_251
441,CONCLUSION: Oxy increases PROTEIN1 release through both PROTEIN2 and non-PLC mediated signal transduction mechanisms.,True,U_264
456,"Further investigation suggested that activation of PROTEIN (PKC), which is part of the PROTEIN1 induced intracellular signalling pathway, is necessary and sufficient for the generation of the synergistic response, although it is not obligatory for PROTEIN2 induced ACTH release",False,U_274
471,"Relative PROTEIN expression levels were 100, 104, and 33 for PROTEIN1 100, 191, and 125 for PROTEIN and 100, 107, and 29 for PROTEIN2 in ad libitum fed control rats, in PROTEIN treated rats and in pair-fed control rats, respectively",False,U_280
486,"However, PROTEIN1 inhibited and PROTEIN2 stimulated intake if the solution was infused intraorally",False,U_289
501,The activity of catalase was found to be significantly enhanced in the tissues of normal and PROTEIN1 fed rats administered 1 mg PROTEIN2 from brinjal/100 g BW/day,False,U_300
516,These data suggest that cAMP-dependent phosphorylation at a step involving GTP-binding protein/PLC coupling can exert a negative effect on the stimulation of PROTEIN1 formation by PROTEIN2 and thereby affect contraction/relaxation in the myometrium,True,U_311
531,"To elucidate the pathophysiologic significance of PROTEIN and PROTEIN in the effect of TZDs on glucose metabolism and energy expenditure, we examined their basal mRNA levels in the WAT, brown adipose tissue (BAT), and skeletal muscle from Wistar fatty rats, a rat model of NIDDM and obesity with PROTEIN receptor defect, and investigated expression of the genes encoding PROTEIN1 and PROTEIN2 in Wistar fatty rats and in Wistar lean rats with 2-week oral administration of 3 mg x kg(-1) x day(-1) pioglitazone, a TZD derivative",False,U_321
546,"To study the effects of enhanced phosphoinositide hydrolysis on PROTEIN secretion, phosphoinositide-specific PROTEIN1 (PLCbeta1) or PROTEIN2 was overexpressed in insulinoma MIN6 cells via adenoviral vectors.",False,U_324
