Sentence ID,Sentence,isValid,Unique ID
9,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN1 (IP3) (+3449%, p less than 0.01) and total PROTEIN (IP) (+760%, p less than 0.08), in response to PROTEIN2 than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",True,U_1
24,"These results support the hypothesis that the heart may be a target organ for PROTEIN1 and that PROTEIN modulates IL-1beta-induced iNOS expression in myocytes through the V1a receptor, which is mediated at least partially via activation of PROTEIN2 ",False,U_9
39," PROTEIN1 (PKC) inhibitors reversed PROTEIN inhibition, whereas PROTEIN2 activator inhibited nitrite production",False,U_15
54,"Induction of fatty acid translocase/CD36, peroxisome proliferator-activated receptor-gamma2, PROTEIN PROTEIN1 and PROTEIN2 and tumor necrosis factor-alpha gene expression in human subcutaneous fat by lipid infusion",False,U_26
69,Dietary intakes of PROTEIN1 PROTEIN and PROTEIN2 by Japanese women and the inverse correlation between quercetin intake and plasma LDL PROTEIN concentration,False,U_31
84, PROTEIN1 beta protein (25-35) stimulation of PROTEIN2 in LA-N-2 cells,True,U_39
99,"Once the abnormally phosphorylated abnormal PROTEIN1 isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular PROTEIN isoform that aggregates to abnormally phosphorylated abnormal PROTEIN isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a PROTEIN2 specific PROTEIN ",False,U_50
114,"By directly regulating the expression of enzymes of free fatty acid metabolism and of PROTEIN1 PROTEIN2 controls intracellular triglyceride content of certain nonadipocytes, as well as adipocytes",True,U_56
129,"While PROTEIN1 maintains or favors energy-dissipating mechanisms ( PROTEIN PROTEIN2 and PROTEIN , the latter are markedly depressed in pair-fed rats",True,U_62
144,DNase1 footprints suggest the involvement of at least three types of transcription factors in the regulation of PROTEIN1 by PROTEIN2 ,True,U_72
159,"In the present study we found that at increasing PROTEIN1 concentrations, increasing numbers of barley (Hordeum vulgare) cells showed the enhanced PROTEIN2 secretion and vacuolation characteristic of the PROTEIN response",True,U_85
174,"The objectives of this study were to evaluate and compare the actions of endothelin-1 (ET-1), PROTEIN1 prostaglandin F2 alpha (PGF2 alpha) and PROTEIN2 (IP3) on 45Ca2+ mobilization in permeabilized rat myometrial cells and to examine the activation of the inositol lipid cycle in intact myocytes",False,U_94
189,The PROTEIN antagonist 1-deamino-2-D-Tyr-(OEt)-4-Thr-8-Orn-oxytocin administered ICV increased PROTEIN1 levels itself and therefore the effect on PROTEIN2 induced PROTEIN secretion was difficult to evaluate,False,U_105
204,"However, the PROTEIN dependent stimulation required activation of PROTEIN1 (PKC), whereas the inhibition was PROTEIN2 independent, indicating that the NGF-induced signaling pathways leading to inhibition and stimulation of HCO3- absorption are distinct",False,U_117
219,"We have studied the effects of neomycin, a potent inhibitor of inositol phospholipid-specific phospholipase C (PLC), on the germination of rice seed and the PROTEIN1 induced expression of PROTEIN2 in the aleurone layer and the scutellar tissues",True,U_128
234,"During luteinization of bovine granulosa cells in vitro in the presence of PROTEIN1 or PROTEIN plus forskolin, there is a massive upregulation not only of progesterone production, but also of the gene for the peptide hormone PROTEIN2 with secretion of the peptide into the medium",True,U_142
249,"OBJECTIVE: In order to elucidate the roles of PROTEIN1 (IP3) and oxytocin (OT) receptors in rabbit parturition, the concentration of PROTEIN induced by PROTEIN2 and the OT receptor levels were determined in rabbit myometria before and after parturition",False,U_151
264,"A single i.c.v. injection of PROTEIN1 decreased cumulative food intake and body weight gain, and increased PROTEIN2 mRNA expression during 3 h at the onset of the dark phase",True,U_161
279,"The expression of uterine PROTEIN and PROTEIN1 were up-regulated by 3.2- and 1.5-fold, respectively, during the late stage of pregnancy with an increase of WAT PROTEIN mRNA expression and exogenous administration of PROTEIN resulted in induction of the uterine PROTEIN and PROTEIN2 levels",False,U_169
294,"However, PROTEIN1 induced activation of RSK2, a downstream substrate of ERK1 and ERK2, was PROTEIN2 dependent and PI 3-kinase-independent",True,U_172
309,"A reduction of food intake imposed on control rats (pair-feeding), aimed at mimicking PROTEIN induced hyperphagia, produced a marked decrease in the expression of muscle PROTEIN1 (UCP-3), whereas ICV infusion of PROTEIN prevented such a decrease in PROTEIN2 ",False,U_183
324,These findings are consistent with the concept that the underexpression of the nutrient-activated PROTEIN1 isozyme may account for the minimal inositol phosphate (IP) and second-phase PROTEIN2 secretory response from mouse islets,True,U_189
