Sentence ID,Sentence,isValid,Unique ID
1,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN1 (IP) (+760%, p less than 0.08), in response to PROTEIN than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN2 respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",False,U_1
16,"These findings support the concept that the mitochondrial metabolism of nutrient molecules is an event sufficient to acutely augment PROTEIN1 release from the beta cell, to increase PROTEIN2 mediated phosphoinositide hydrolysis, and to induce time-dependent potentiation of PROTEIN secretion",False,U_4
31,"Since the MARCKS protein has been implicated in neurosecretion and is phosphorylated by PROTEIN1 in synaptosomes, studies were carried out to determine whether PROTEIN2 might cause MARCKS phosphorylation in the ovine anterior pituitary, and to determine whether this phenomenon might be temporally correlated with PROTEIN translocation and the release of ACTH",False,U_12
46,Ca2+ signalling in rat vascular smooth muscle cells: a role for PROTEIN1 at physiological vasoconstrictor concentrations of PROTEIN2 ,True,U_20
61,"Marked increases in FAT/CD36 (724+/-18%; P < 0.05), PPAR-gamma2 (200+/-8%; P < 0.05), PROTEIN (110+/-13%; P < 0.05), PROTEIN1 (120+/-7%; P < 0.05), PROTEIN2 (80+/-5%; P < 0.05), and TNF-alpha mRNA (130+/-12%; P < 0.05) were observed in comparison with pretreatment levels, whereas there was no change after saline infusion",False,U_28
76,"This action of PROTEIN1 25-35 is not altered by pretreatment with the calcium channel blockers nifedipine or cobalt, with the depleter of intracellular calcium stores cyclopiazonic acid, or with the PROTEIN2 inhibitor neomycin",False,U_33
91, PROTEIN1 stimulates the release of the glycosyl phosphatidylinositol-anchored membrane dipeptidase from 3T3-L1 adipocytes through the action of a PROTEIN2 ,True,U_44
106,"Once the abnormally phosphorylated abnormal PROTEIN isoform agent is initiated, any stress event ensuing in adult life induces a nerve growth factor-mediated synthesis of normal cellular PROTEIN1 isoform that aggregates to abnormally phosphorylated abnormal PROTEIN2 isoform, thereby becoming 'infected'/transformed into the same; due to the vicious circle of positive feedback invoked by the blocking of a PROTEIN specific PROTEIN ",False,U_50
121,"In marked contrast, intracerebroventricular PROTEIN administration was accompanied by the maintenance of high PROTEIN1 PROTEIN2 and PROTEIN expression in all these tissues",False,U_61
136,Effect of residual endogenous PROTEIN secretion on the abnormal PROTEIN1 response to hypoglycaemia in PROTEIN2 dependent diabetics,False,U_66
