Sentence ID,Sentence,isValid,Unique ID
4,"SP ewes also had greater incorporation of [3H]inositol into PROTEIN (IP3) (+3449%, p less than 0.01) and total PROTEIN1 (IP) (+760%, p less than 0.08), in response to PROTEIN2 than did oCSP ewes (+553 and +168% for PROTEIN and total PROTEIN respectively) in endometrium collected at ovariectomy/hysterectomy on Day 16",True,U_1
19,"After PROTEIN1 activity was functionally depleted by treating cells with phorbol 12-myristate 13-acetate for 24 hours, PROTEIN2 did not augment IL-1beta-induced NO production",False,U_6
34,"We conclude that: (1) PROTEIN causes a rapid, and reversible, phosphorylation of the MARCKS protein in the ovine anterior pituitary; (2) since the PROTEIN induced increase in MARCKS phosphorylation occurs much earlier in these cells than does PROTEIN1 trans-location, MARCKS phosphorylation may provide a more sensitive index of the onset of PROTEIN2 activation than the translocation assay; (3) the close temporal association between MARCKS phosphorylation and the rapid early release of ACTH suggests that MARCKS phosphorylation may be involved in the initial intracellular events that underly exocytosis of the hormone.",False,U_13
49,Time-dependent redistribution of PROTEIN1 -delta and -epsilon isoforms between the membrane and cytosolic fractions occurred in response to 100 pM PROTEIN2 ,True,U_23
64,"These data suggest that the in vivo gene expression of FAT/CD36, PPAR-gamma2, PROTEIN PROTEIN1 PROTEIN2 and TNF-alpha in subcutaneous adipose tissue is regulated by circulating lipids independent of insulin and that prolonged hyperlipidemia may therefore contribute to increased fat metabolism and storage as a result of the increased expression of these proteins",False,U_29
79,"When rat islet are cultured for short periods, the content and activation of PROTEIN1 in response to glucose decreases and this biochemical defect in signal transduction is paralleled by significant reductions in glucose-induced PROTEIN2 secretion",False,U_36
94,"Pretreatment of HEK-293 cells for 2 min with carbachol, a mAChR agonist, lysophosphatidic acid, or ATP, followed by agonist washout, strongly increased (by 2-3-fold) maximal PROTEIN stimulation (measured >/=40 min later) by epidermal growth factor and platelet-derived growth factor, but not PROTEIN1 and largely enhanced PROTEIN2 sensitivity to these RTK agonists",False,U_47
109,The responses of serum PROTEIN1 (OT) and vasopressin (AVP) to the serotonergic HT1A agonist buspirone (15 mg p.o.) or the HTD1 agonist sumatriptan (6 mg injected subcutaneously) were evaluated in 7 normal men either in basal conditions or during an PROTEIN2 (0.15 iu/kg as an i.v. bolus) tolerance test (ITT),False,U_51
124,"In marked contrast, intracerebroventricular PROTEIN administration was accompanied by the maintenance of high PROTEIN1 PROTEIN and PROTEIN2 expression in all these tissues",False,U_61
139,DESIGN: Case-control study: the PROTEIN1 response to PROTEIN induced hypoglycaemia was measured in normal and diabetic patients with or without residual endogenous PROTEIN2 secretion,False,U_68
154,These results disclose the potential of the PROTEIN1 to modulate the activity of PROTEIN2 a pleiotropic PROTEIN that is particularly abundant in the brain,True,U_82
169,The addition of PROTEIN1 to hypothalamic preparations from intact mice also did not alter PROTEIN2 or CRH secretion,False,U_91
