sen_id,Sentence,E1,E2,Fold
LLL.d0.s0,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB.",KinC,Spo0A~P,7
LLL.d0.s0,"In vivo studies of the activity of four of the kinases, KinA, KinC, KinD (ykvD) and KinE (ykrQ), using abrB transcription as an indicator of Spo0A~P level, revealed that KinC and KinD were responsible for Spo0A~P production during the exponential phase of growth in the absence of KinA and KinB.",KinD,Spo0A~P,7
LLL.d1.s0,"In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.",sigma(A),spoIIG,4
LLL.d1.s0,"In this mutant, expression of the spoIIG gene, whose transcription depends on both sigma(A) and the phosphorylated Spo0A protein, Spo0A~P, a major transcription factor during early stages of sporulation, was greatly reduced at 43 degrees C.",Spo0A,spoIIG,4
LLL.d2.s0,"Transcription of ydhD was dependent on SigE, and the mRNA was detectable from 2 h after the cessation of logarithmic growth (T2 of sporulation).",SigE,ydhD,8
LLL.d2.s1,ykuD was transcribed by SigK RNA polymerase from T4 of sporulation.,SigK,ykuD,8
LLL.d2.s2,"Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation.",SigK,ykvP,8
LLL.d2.s2,"Both SigK and GerE were essential for ykvP expression, and this gene was transcribed from T5 of sporulation.",GerE,ykvP,8
LLL.d3.s0,"Analysis of the expression of a translational ywhE-lacZ fusion showed that ywhE expression is sporulation-specific, and is controlled predominantly by the forespore-specific sigma factor sigma(F), and to a lesser extent by sigma(G).",sigma(F),ywhE,9
LLL.d3.s0,"Analysis of the expression of a translational ywhE-lacZ fusion showed that ywhE expression is sporulation-specific, and is controlled predominantly by the forespore-specific sigma factor sigma(F), and to a lesser extent by sigma(G).",sigma(G),ywhE,9
LLL.d4.s0,"Secondly, SpoIIE is essential for the activation of the first compartment-specific transcription factor sigma(F) in the prespore.",SpoIIE,sigma(F),10
LLL.d4.s1,Localization of SpoIIE was shown to be dependent on the essential cell division protein FtsZ.,FtsZ,SpoIIE,10
LLL.d5.s0,"In the shaA mutant, sigma(H)-dependent expression of spo0A and spoVG at an early stage of sporulation was sensitive to external NaCl.",sigma(H),spo0A,4
LLL.d5.s0,"In the shaA mutant, sigma(H)-dependent expression of spo0A and spoVG at an early stage of sporulation was sensitive to external NaCl.",sigma(H),spoVG,4
LLL.d6.s0,The expression of rsfA is under the control of both sigma(F) and sigma(G).,sigma(F),rsfA,6
LLL.d6.s0,The expression of rsfA is under the control of both sigma(F) and sigma(G).,sigma(G),rsfA,6
LLL.d7.s0,Expression of the sigma(K)-dependent cwlH gene depended on gerE.,sigma(K),cwlH,7
LLL.d7.s0,Expression of the sigma(K)-dependent cwlH gene depended on gerE.,gerE,cwlH,7
LLL.d8.s0,"Our results indicate that the level of KatX level in outgrowing spores depends mainly on EsigmaF, because sigB mutants show normal KatX activity in dormant and outgrowing spores.",EsigmaF,KatX,1
LLL.d8.s1,"Therefore, the physiological role of sigmaB-dependent katX expression remains obscure.",sigmaB,katX,1
LLL.d8.s2,"The -10 and -35 sequences of the sigmaB- and sigmaF-dependent promoters of katX overlap, and the transcriptional start points used by EsigmaB and EsigmaF differ by only one nucleotide.",sigmaB,katX,1
LLL.d8.s2,"The -10 and -35 sequences of the sigmaB- and sigmaF-dependent promoters of katX overlap, and the transcriptional start points used by EsigmaB and EsigmaF differ by only one nucleotide.",sigmaF,katX,1
LLL.d8.s3,"We demonstrated that katX is also a sigmaB-dependent general stress gene, since it is strongly induced by heat, salt and ethanol stress, as well as by energy depletion.",sigmaB,katX,1
