Setence ID	Sentence	isValid
427	Phosphoinositide hydrolysis, resulting in PROTEIN1 (IP3) and diacylglycerol (DG) formation, has been implicated in PROTEIN2 stimulated pulsatile secretion of prostaglandin F2 alpha (PGF2 alpha) from uterine endometrium of sheep and other mammals	True
428	The effects of prostaglandin F2 alpha (PGF2 alpha) on intracellular Ca2+ concentration ([Ca2+]i) and PROTEIN1 (IP) generation in human myometrial cells were evaluated and compared to the effects of PROTEIN2 	False
429	In contrast, the potencies of PROTEIN1 to raise PROTEIN2 and [Ca2+]i were similar and independent of extracellular Ca2+, and could be suppressed by pertussis toxin and phorbol ester, but not by verapamil	True
430	The action of PGF2 alpha depends on extracellular Ca2+, whereas PROTEIN1 activates the G-protein-dependent phospholipase-C- PROTEIN2 Ca2+ signal-transducing pathway, complemented by the influx of extracellular Ca2+	True
431	This indicates that the calcium response to PROTEIN1 application was principally associated with activation of the PROTEIN2 sensitive calcium stores	False
432	Homogeneous liposome immunoassay for PROTEIN1 using PROTEIN2 from Clostridium perfringens	False
433	 PROTEIN1 was conjugated to PROTEIN2 by a three-step procedure with hetero-bifunctional crosslinking reagents, succinimidyl 4-(N-maleimidomethyl)cyclohexane-1-carboxylate and 3-(2-pyridyldithio)propionic acid N-hydroxysuccinimide ester	False
434	Both p-nitrophenylphosphatidylcholine hydrolytic activity and liposome lytic activity of PROTEIN1 PROTEIN2 conjugate were inhibited in the presence of PROTEIN antiserum	False
435	Both p-nitrophenylphosphatidylcholine hydrolytic activity and liposome lytic activity of PROTEIN PROTEIN1 conjugate were inhibited in the presence of PROTEIN2 antiserum	False
436	Both p-nitrophenylphosphatidylcholine hydrolytic activity and liposome lytic activity of PROTEIN1 PROTEIN conjugate were inhibited in the presence of PROTEIN2 antiserum	False
437	However, in brown fat, we observed a 2-3-fold increase in the expression of PROTEIN1 in response to dietary fat challenge, which may be related to diet-induced elevations in plasma PROTEIN2 levels	True
438	 PROTEIN1 evokes the release of Ca2+ from PROTEIN2 sensitive intracellular stores	False
439	A barley gene encoding a novel DNA-binding protein (HRT) was identified by southwestern screening with baits containing a PROTEIN1 phytohormone response element from an PROTEIN2 promoter	True
440	Oxytocin-stimulated PROTEIN1 release in a clonal beta-cell line RINm5F: involvement of PROTEIN2 dependent and -independent pathways.	True
441	CONCLUSION: Oxy increases PROTEIN1 release through both PROTEIN2 and non-PLC mediated signal transduction mechanisms.	True
442	In addition, U-73122 diminished the PROTEIN1 induced increase in intracellular concentration of PROTEIN2 (IP3)	True
443	U-73122 at 8 mumol.L-1 totally abolished the PROTEIN induced increases in [Ca2+]i and PROTEIN1 however it reduced the PROTEIN2 induced increase in insulin release only by 36% and 63% in the monolayer and suspended cell preparations, respectively	False
