Setence ID	Sentence	isValid
465	Relative PROTEIN expression levels were 100, 104, and 33 for PROTEIN 100, 191, and 125 for PROTEIN1 and 100, 107, and 29 for PROTEIN in ad libitum fed control rats, in PROTEIN2 treated rats and in pair-fed control rats, respectively	False
466	Relative PROTEIN expression levels were 100, 104, and 33 for PROTEIN1 100, 191, and 125 for PROTEIN and 100, 107, and 29 for PROTEIN in ad libitum fed control rats, in PROTEIN2 treated rats and in pair-fed control rats, respectively	False
467	Relative PROTEIN1 expression levels were 100, 104, and 33 for PROTEIN 100, 191, and 125 for PROTEIN and 100, 107, and 29 for PROTEIN2 in ad libitum fed control rats, in PROTEIN treated rats and in pair-fed control rats, respectively	False
468	Relative PROTEIN1 expression levels were 100, 104, and 33 for PROTEIN 100, 191, and 125 for PROTEIN2 and 100, 107, and 29 for PROTEIN in ad libitum fed control rats, in PROTEIN treated rats and in pair-fed control rats, respectively	False
469	Relative PROTEIN1 expression levels were 100, 104, and 33 for PROTEIN2 100, 191, and 125 for PROTEIN and 100, 107, and 29 for PROTEIN in ad libitum fed control rats, in PROTEIN treated rats and in pair-fed control rats, respectively	False
470	Relative PROTEIN expression levels were 100, 104, and 33 for PROTEIN 100, 191, and 125 for PROTEIN1 and 100, 107, and 29 for PROTEIN2 in ad libitum fed control rats, in PROTEIN treated rats and in pair-fed control rats, respectively	False
471	Relative PROTEIN expression levels were 100, 104, and 33 for PROTEIN1 100, 191, and 125 for PROTEIN and 100, 107, and 29 for PROTEIN2 in ad libitum fed control rats, in PROTEIN treated rats and in pair-fed control rats, respectively	False
472	Relative PROTEIN expression levels were 100, 104, and 33 for PROTEIN1 100, 191, and 125 for PROTEIN2 and 100, 107, and 29 for PROTEIN in ad libitum fed control rats, in PROTEIN treated rats and in pair-fed control rats, respectively	False
473	These results suggest that the overall effect of PROTEIN1 on glucose utilization and on the expression of PROTEIN2 may be mediated through central mechanism	True
474	In vivo effects of CGP-12177 on the expression of PROTEIN1 and PROTEIN2 genes in mouse brown and white adipose tissues	False
475	OBJECTIVE: To assess the effect of chronic treatment with CGP-12177 a beta3-adrenergic receptor (AR) agonist with beta2/beta1-AR antagonist action, on the expression of the PROTEIN1 gene and of genes coding for PROTEIN2 (ucp1, ucp2 and ucp3) in brown and white adipose tissues	False
476	CONCLUSION: The results reveal that simultaneous stimulation of the expression of certain PROTEIN1 genes and the PROTEIN2 gene can be achieved, and suggest that adrenergic regulation of the PROTEIN gene and of genes of the PROTEIN family in adipose tissues is the result of complex interactions between the different beta-AR pathways	False
477	CONCLUSION: The results reveal that simultaneous stimulation of the expression of certain PROTEIN1 genes and the PROTEIN gene can be achieved, and suggest that adrenergic regulation of the PROTEIN gene and of genes of the PROTEIN2 family in adipose tissues is the result of complex interactions between the different beta-AR pathways	False
478	CONCLUSION: The results reveal that simultaneous stimulation of the expression of certain PROTEIN1 genes and the PROTEIN gene can be achieved, and suggest that adrenergic regulation of the PROTEIN2 gene and of genes of the PROTEIN family in adipose tissues is the result of complex interactions between the different beta-AR pathways	False
479	CONCLUSION: The results reveal that simultaneous stimulation of the expression of certain PROTEIN genes and the PROTEIN1 gene can be achieved, and suggest that adrenergic regulation of the PROTEIN gene and of genes of the PROTEIN2 family in adipose tissues is the result of complex interactions between the different beta-AR pathways	False
480	CONCLUSION: The results reveal that simultaneous stimulation of the expression of certain PROTEIN genes and the PROTEIN1 gene can be achieved, and suggest that adrenergic regulation of the PROTEIN2 gene and of genes of the PROTEIN family in adipose tissues is the result of complex interactions between the different beta-AR pathways	False
481	CONCLUSION: The results reveal that simultaneous stimulation of the expression of certain PROTEIN genes and the PROTEIN gene can be achieved, and suggest that adrenergic regulation of the PROTEIN1 gene and of genes of the PROTEIN2 family in adipose tissues is the result of complex interactions between the different beta-AR pathways	False
482	However, neither progesterone nor PROTEIN1 increased phosphotyrosine on PROTEIN2 	False
483	 PROTEIN1 PROTEIN2 opposing effects on appetitive and consummatory ingestive behavior and sexual behavior	False
484	Many studies have indicated that PROTEIN1 (NPY) stimulates and PROTEIN2 inhibits food intake	False
485	In line with this, intracerebroventricular injection of PROTEIN1 (10 microg) stimulated and PROTEIN2 (10 microg) inhibited intake of a sucrose solution when female rats were required to obtain the solution from a bottle	False
486	However, PROTEIN1 inhibited and PROTEIN2 stimulated intake if the solution was infused intraorally	False
487	Thus PROTEIN1 stimulates the responses used to obtain food but inhibits those used to consume food, and PROTEIN2 has the opposite effects	False
488	We also determined whether well known hypothalamic neuropeptide targets, e.g. PROTEIN1 (NPY), proopiomelanocortin (POMC), agouti-related peptide (AGRP) and cocaine and amphetamine-regulated transcript (CART) were regulated in a pattern consistent with their presumed roles as mediators of PROTEIN2 action	True
489	In contrast, PROTEIN1 decreased body weight and adiposity, increased CART and suppressed PROTEIN2 and AGRP mRNA expression in adult mice	True
490	 PROTEIN1 secretion is regulated by changes in blood glucose, as well as by peptides from the gastrointestinal tract and neurotransmitters that activate the pancreatic islet adenylyl cyclase (e.g., glucagon-like peptide-1) and PROTEIN (PLC) (e.g., acetylcholine) signaling pathways to further potentiate glucose-induced PROTEIN2 secretion	False
491	 PROTEIN1 secretion is regulated by changes in blood glucose, as well as by peptides from the gastrointestinal tract and neurotransmitters that activate the pancreatic islet adenylyl cyclase (e.g., glucagon-like peptide-1) and PROTEIN2 (PLC) (e.g., acetylcholine) signaling pathways to further potentiate glucose-induced PROTEIN secretion	False
492	 PROTEIN secretion is regulated by changes in blood glucose, as well as by peptides from the gastrointestinal tract and neurotransmitters that activate the pancreatic islet adenylyl cyclase (e.g., glucagon-like peptide-1) and PROTEIN1 (PLC) (e.g., acetylcholine) signaling pathways to further potentiate glucose-induced PROTEIN2 secretion	True
493	However, leptin did constrain the enhanced PROTEIN1 mediated PROTEIN2 secretion characteristic of islets from ob/ob mice, without influencing release from islets of lean mice	True
494	A specific enhancement in PROTEIN1 mediated PROTEIN2 secretion is the earliest reported developmental alteration in PROTEIN secretion from islets of ob/ob mice, and thus a logical target for leptin action	True
495	A specific enhancement in PROTEIN mediated PROTEIN1 secretion is the earliest reported developmental alteration in PROTEIN2 secretion from islets of ob/ob mice, and thus a logical target for leptin action	False
496	A specific enhancement in PROTEIN1 mediated PROTEIN secretion is the earliest reported developmental alteration in PROTEIN2 secretion from islets of ob/ob mice, and thus a logical target for leptin action	False
497	This action of leptin on PROTEIN1 mediated PROTEIN2 secretion was dose-dependent, rapid-onset (i.e., within 3 min), and reversible	True
498	Leptin was equally effective in constraining the enhanced PROTEIN1 release from islets of ob/ob mice caused by protein kinase C (PKC) activation, a downstream mediator of the PROTEIN2 signal pathway	False
499	One function of leptin in control of body composition is thus to target a PKC-regulated component of the PROTEIN1 PKC signaling system within islets to prevent hypersecretion of PROTEIN2 	False
500	The bovine ovarian granulosa cell model is a primary culture system where under stimulation by PROTEIN1 or IGF-I and LH the endogenous PROTEIN2 gene is massively upregulated	True
501	The activity of catalase was found to be significantly enhanced in the tissues of normal and PROTEIN1 fed rats administered 1 mg PROTEIN2 from brinjal/100 g BW/day	False
502	METHODS: We have therefore studied possible associations of the Gln27Glu and the Gly16Arg polymorphisms in the beta2AR with BMI, plasma PROTEIN1 and PROTEIN2 mRNA expression in the intraperitoneal adipose tissue in a population of Caucasian women	False
503	Furthermore, no association was found between the Gln27Glu or the Gly16Arg polymorphisms and plasma PROTEIN1 or adipose tissue PROTEIN2 gene expression in either group	False
