Sentence ID,Sentence,isValid,Unique ID
9,"Finally, a direct interaction between PPARgamma and PROTEIN1 was confirmed by PROTEIN2 pull-down assay",False,U_4
30, PROTEIN1 is modified by PROTEIN2 in vivo and in vitro and the region of PROTEIN responsible for interaction maps to the N-terminal regulatory domain,True,U_11
51,The protein PROTEIN1 functions in a multi-subunit E3 ubiquitin ligase that targets the hypoxia-inducible transcription factor PROTEIN2 for proteasomal degradation during normoxia,True,U_21
72,A PROTEIN mutant containing a P154L substitution coimmunoprecipitates with PROTEIN1 but not PROTEIN2 and does not promote degradation of PROTEIN ,False,U_27
93,The fact that the PROTEIN1 mRNA editing protein also exists as a PROTEIN has important implications for the mechanism of PROTEIN2 mRNA editing in humans,False,U_32
114,We found that phosphorylation of PROTEIN1 by ATR also requires checkpoint proteins PROTEIN2 and replication protein A,True,U_46
135,"Previous studies have demonstrated the immunolocalization of PROTEIN1 a specific PROTEIN2 to the PROTEIN protein (A beta)-containing PROTEIN deposits within the walls of blood vessels (i.e., congophilic angiopathy) in Alzheimer's disease (AD) brain",False,U_53
156,"Characterization of EC and PROTEIN PROTEIN bound to A beta (1-28) revealed strong binding by PROTEIN1 weak binding by PROTEIN and PROTEIN two dermatan sulfate proteoglycans, and lack of binding by PROTEIN PROTEIN2 a large chondroitin sulfate proteoglycan",False,U_58
177," PROTEIN specifically interacted with the general transcription factors PROTEIN1 TBP, and PROTEIN2 but not with TFIIEalpha in the PROTEIN pull-down assays",False,U_62
198,The interaction between AR and PROTEIN was assessed by PROTEIN1 ( PROTEIN2 pull-down assay and mammalian two-hybrid system assay,False,U_70
219," PROTEIN ( PROTEIN1 , PROTEIN ( PROTEIN , and PROTEIN ( PROTEIN2 constitute a family of evolutionarily conserved, small, acidic, nuclear proteins, which have been implicated in terminal differentiation, growth suppression, and apoptosis",False,U_79
240,"Data also has been obtained that PROTEIN1 and PROTEIN as well as PROTEIN2 interact with both PROTEIN and cyclinB1, resulting in inhibition of the kinase activity of the PROTEIN cyclinB1 complex",False,U_83
261,"To identify the regions of PROTEIN1 that contact its receptor, PROTEIN2 we substituted all surface-exposed residues with alanine",True,U_91
282,"Subsequent amino acid sequencing revealed many peptides involving PROTEIN1 cross-linked either to itself or to a variety of other known CE protein components, including PROTEIN PROTEIN PROTEIN2 keratins, members of the small proline-rich superfamily, PROTEIN and unknown proteins related to the PROTEIN family",True,U_97
303, PROTEIN1 PROTEIN2 (' PROTEIN )-binding protein (CBP) modulates co-operation between myocyte enhancer factor 2A ( PROTEIN and thyroid hormone receptor-retinoid X receptor,False,U_104
324,"The results of complementation experiments show that, in contrast to mouse PROTEIN mouse PROTEIN1 can partially alleviate the growth defect of the corresponding yeast null strain, indicating that the role of PROTEIN2 in pre-rRNA processing is evolutionarily conserved",False,U_109
345, PROTEIN a Rho family PROTEIN that interacts with signaling adapters PROTEIN1 and PROTEIN2 ,False,U_120
366,"We propose that PROTEIN1 and PROTEIN in cooperation with other adapter molecules might regulate the cellular localization of PROTEIN2 under specific stimuli, acting to regulate precisely Rac and PROTEIN activities",True,U_123
387,"Here, we characterize the interaction between PROTEIN and PROTEIN show that PROTEIN phosphorylates PROTEIN1 at conserved S274 and S326 residues in vitro, and present evidence that PROTEIN2 is also a substrate for PROTEIN in vivo",False,U_131
408,"A prominent isolate, designated PROTEIN PROTEIN1 specifically interacts with the PROTEIN2 not only in vivo but also in vitro",True,U_134
429,"Finally, PROTEIN bound different glycoforms of PROTEIN1 expressed in Chinese hamster ovary cells, including unbranched (core 1) and branched (core 2) O:-linked glycans, that are normally found on PROTEIN2 in resting and activated T cells, respectively",False,U_144
