Sentence ID,Sentence,isValid,Unique ID
21,"Here we show that PROTEIN interacts with multiple components of the sumoylation machinery, namely the E2 sumo conjugating enzyme PROTEIN1 and the E3 sumo ligases PROTEIN and PROTEIN2 all of which are involved in conjugating the small ubiquitin-like modifier polypeptide, PROTEIN to its target proteins",False,U_10
42,"Complexes of either PROTEIN1 PROTEIN2 Syk/PLC-gamma(1) could be isolated from B cells stimulated by BCR engagement or a mixture of hydrogen peroxidase and sodium orthovanadate, respectively",True,U_16
63,Overexpression of PROTEIN1 promotes degradation of PROTEIN in a pVHL-dependent manner that requires the ATPase domain of PROTEIN2 ,False,U_24
84,"Cross-linking of PROTEIN1 with the use of the mAb MEM-53 and a polyclonal sheep anti-mouse Ig promoted activation of resting B cells into the G1 phase of the cell cycle as judged by increased expression of the early activation Ag PROTEIN2 increases in cellular volume, RNA synthesis, and PROTEIN protein levels, and enhanced binding of 7-aminoactinomycin D",True,U_29
105,"Thus, PROTEIN1 is involved in the activation of PROTEIN2 most probably through direct interaction with the integrin, and induces cell spreading by its ARF-GEF activity",True,U_39
126,"Overexpression of PROTEIN results in a zinc finger-dependent localization of a PROTEIN1 isoform and dynactin to MT bundles, raising the possibility that PROTEIN2 and PROTEIN regulate dynein/dynactin binding to MTs",False,U_50
147,"In the present investigation, the differential binding of previously characterized endothelial cell (EC)- and smooth muscle cell ( PROTEIN1 -derived PROTEIN to A beta was examined to determine whether the accumulation of A beta in cerebrovascular PROTEIN2 deposits may be due to its interactions with PROTEIN ",False,U_55
168,"Characterization of EC and PROTEIN1 PROTEIN bound to A beta (1-28) revealed strong binding by PROTEIN weak binding by PROTEIN and PROTEIN two dermatan sulfate proteoglycans, and lack of binding by PROTEIN2 PROTEIN a large chondroitin sulfate proteoglycan",False,U_58
189,Immobilized PROTEIN1 also bound PROTEIN besides PROTEIN and PROTEIN2 ,True,U_67
210, PROTEIN1 and PROTEIN are PROTEIN2 cyclinB1 kinase inhibitors with a role in S and G2/M cell cycle checkpoints induced by genotoxic stress,True,U_78
231,"Yet, whether PROTEIN1 and/or PROTEIN2 function as inhibitors of PROTEIN cyclinB1 kinase and/or play a role in G2/M cell cycle arrest has not been fully established",False,U_81
252,The tyrosine kinase PROTEIN is physically associated with the Type I interferon ( PROTEIN1 receptor complex and is rapidly activated during PROTEIN2 stimulation,False,U_85
273,"Three SR-rich proteins were identified that interact with the C-terminus of Pnn: PROTEIN1 and PROTEIN2 known components of spliceosome machinery, and a novel 130-kDa nuclear protein, SRrp130",False,U_96
294,The transmembrane PROTEIN1 PROTEIN interacts with PROTEIN2 ,True,U_99
315,"Our findings showed that the same C-terminal portion of PROTEIN binds the N-terminal domains of both TR and PROTEIN1 and our in vivo studies demonstrated that TR, PROTEIN2 and PROTEIN form a ternary complex",False,U_106
336,"Previously, we showed that the PROTEIN1 or PROTEIN subunit genes can be genetically fused to the alpha gene to produce biologically active single chains, PROTEIN2 and F beta alpha, respectively",False,U_116
357," PROTEIN and PROTEIN1 are scaffolding proteins acting downstream of cell surface receptors and interact with a variety of cytoplasmic signaling proteins such as PROTEIN PROTEIN2 PROTEIN Shc, and Crk",True,U_121
378,Specific interaction of PROTEIN1 and c/EBPbeta leads to the transcriptional activation of the human PROTEIN2 gene,True,U_128
399,"Here, we characterize the interaction between PROTEIN and PROTEIN show that PROTEIN1 phosphorylates PROTEIN at conserved S274 and S326 residues in vitro, and present evidence that PROTEIN is also a substrate for PROTEIN2 in vivo",False,U_131
420,Immunoprecipitation experiments revealed a physical association of PROTEIN1 with p125FAK via PROTEIN2 in vivo,True,U_140
