Sentence ID	Sentence	isValid
106	The first stage, which involves the phosphatase function of PROTEIN depends on the cell division protein PROTEIN1 and could correspond to the PROTEIN dependent assembly of PROTEIN2 into E-rings.	False
107	The first stage, which involves the phosphatase function of PROTEIN1 depends on the cell division protein PROTEIN and could correspond to the PROTEIN dependent assembly of PROTEIN2 into E-rings.	False
108	The first stage, which involves the phosphatase function of PROTEIN depends on the cell division protein PROTEIN and could correspond to the PROTEIN1 dependent assembly of PROTEIN2 into E-rings.	True
109	The first stage, which involves the phosphatase function of PROTEIN1 depends on the cell division protein PROTEIN2 and could correspond to the PROTEIN dependent assembly of PROTEIN into E-rings.	True
110	The first stage, which involves the phosphatase function of PROTEIN depends on the cell division protein PROTEIN1 and could correspond to the PROTEIN2 dependent assembly of PROTEIN into E-rings.	False
111	The first stage, which involves the phosphatase function of PROTEIN1 depends on the cell division protein PROTEIN and could correspond to the PROTEIN2 dependent assembly of PROTEIN into E-rings.	False
112	Evidence based on the use of modified and mutant forms of the phosphatase protein indicates that PROTEIN1 blocks the capacity of unphosphorylated PROTEIN2 to activate PROTEIN until formation of the polar septum is completed.	True
113	Evidence based on the use of modified and mutant forms of the phosphatase protein indicates that PROTEIN blocks the capacity of unphosphorylated PROTEIN1 to activate PROTEIN2 until formation of the polar septum is completed.	True
114	Evidence based on the use of modified and mutant forms of the phosphatase protein indicates that PROTEIN1 blocks the capacity of unphosphorylated PROTEIN to activate PROTEIN2 until formation of the polar septum is completed.	False
115	Cell-specific activation of transcription factor PROTEIN1 during sporulation in Bacillus subtilis requires the formation of the polar septum and the activity of a serine phosphatase ( PROTEIN2 located in the septum.	True
116	The PROTEIN1 phosphatase indirectly activates PROTEIN by dephosphorylating a protein ( PROTEIN2 in the pathway that controls the activity of the transcription factor.	True
117	The PROTEIN phosphatase indirectly activates PROTEIN1 by dephosphorylating a protein ( PROTEIN2 in the pathway that controls the activity of the transcription factor.	True
118	The PROTEIN1 phosphatase indirectly activates PROTEIN2 by dephosphorylating a protein ( PROTEIN in the pathway that controls the activity of the transcription factor.	True
119	Most PROTEIN genes, and the PROTEIN1 gene, are transcribed by PROTEIN2 RNA polymerase.	True
120	Most PROTEIN1 genes, and the PROTEIN gene, are transcribed by PROTEIN2 RNA polymerase.	True
121	Most PROTEIN1 genes, and the PROTEIN2 gene, are transcribed by PROTEIN RNA polymerase.	False
122	Previously, it was shown that the PROTEIN1 protein inhibits transcription in vitro of the PROTEIN2 gene encoding sigmaK.	True
123	These results demonstrate that PROTEIN1 dependent transcription of PROTEIN initiates a negative feedback loop in which PROTEIN2 acts as a repressor to limit production of PROTEIN 	False
124	These results demonstrate that PROTEIN1 dependent transcription of PROTEIN2 initiates a negative feedback loop in which PROTEIN acts as a repressor to limit production of PROTEIN 	True
125	These results demonstrate that PROTEIN1 dependent transcription of PROTEIN initiates a negative feedback loop in which PROTEIN acts as a repressor to limit production of PROTEIN2 	False
126	These results demonstrate that PROTEIN dependent transcription of PROTEIN1 initiates a negative feedback loop in which PROTEIN2 acts as a repressor to limit production of PROTEIN 	False
127	These results demonstrate that PROTEIN dependent transcription of PROTEIN initiates a negative feedback loop in which PROTEIN1 acts as a repressor to limit production of PROTEIN2 	True
128	These results demonstrate that PROTEIN dependent transcription of PROTEIN1 initiates a negative feedback loop in which PROTEIN acts as a repressor to limit production of PROTEIN2 	False
129	A low level of PROTEIN1 activated transcription of PROTEIN by PROTEIN2 RNA polymerase in vitro, but a higher level of PROTEIN repressed PROTEIN transcription.	True
130	A low level of PROTEIN1 activated transcription of PROTEIN by PROTEIN RNA polymerase in vitro, but a higher level of PROTEIN repressed PROTEIN2 transcription.	False
131	A low level of PROTEIN1 activated transcription of PROTEIN by PROTEIN RNA polymerase in vitro, but a higher level of PROTEIN2 repressed PROTEIN transcription.	False
132	A low level of PROTEIN1 activated transcription of PROTEIN2 by PROTEIN RNA polymerase in vitro, but a higher level of PROTEIN repressed PROTEIN transcription.	True
133	A low level of PROTEIN activated transcription of PROTEIN by PROTEIN1 RNA polymerase in vitro, but a higher level of PROTEIN repressed PROTEIN2 transcription.	False
134	A low level of PROTEIN activated transcription of PROTEIN by PROTEIN1 RNA polymerase in vitro, but a higher level of PROTEIN2 repressed PROTEIN transcription.	False
